youtubeID,shot,concept,start,end,concepts,probability
ml3z9ChKE8o,shot_2,113670,17.417400,35.568867,#car/#vehicle/#ground_vehicles/#exiting_a_vehicle/#minivan,19.352667
KCCgEJvAVu8,shot_5,16117,13.666667,18.733334,#car/#vehicle/#ground_vehicles/#car_racing/#outdoor,16.799999
5TtbA5ckQvE,shot_56,4790,197.639999,205.880005,#ground_vehicles/#car/#vehicle/#sports_car/#car_racing,198.440002
DJhO2uU4PGw,shot_58,83778,521.587708,528.694824,#car/#vehicle/#ground_vehicles/#outdoor/#traffic,528.294434
-Tzc7SBkcV4,shot_26,115638,148.248093,172.672501,#car/#vehicle/#ground_vehicles/#exiting_a_vehicle/#construction_vehicles,167.367203
bffe8WVe5Es,shot_92,6451,276.359406,282.198578,#vehicle/#car/#ground_vehicles/#road/#outdoor,278.069458
OwvYlyYnpYs,shot_71,95698,488.921753,496.062225,#car/#vehicle/#ground_vehicles/#outdoor/#road,491.624481
t5Dbp_SuMHE,shot_3,24818,36.680000,43.360001,#car/#ground_vehicles/#vehicle/#sports_car/#minivan,43.200001
5KkbTKciCqY,shot_166,84871,346.160004,353.160004,#ground_vehicles/#car/#vehicle/#exiting_a_vehicle/#emergency_vehicles,350.440002
n9XQE3nY9kY,shot_4,31042,36.636600,43.309933,#car/#ground_vehicles/#vehicle/#sports_car/#minivan,42.042000
gxeKvpC9oXk,shot_47,35790,230.100006,236.733337,#car/#ground_vehicles/#vehicle/#sports_car/#car_racing,232.100006
QBvunQ3SES0,shot_63,110253,199.332474,211.578033,#car/#ground_vehicles/#vehicle/#exiting_a_vehicle/#minivan,208.608398
UaZGro6_bdY,shot_10,89935,35.639999,42.680000,#car/#ground_vehicles/#vehicle/#sports_car/#car_racing,37.560001
tjy9j2FNwfk,shot_53,109032,159.025528,166.900070,#ground_vehicles/#car/#vehicle/#minivan/#exiting_a_vehicle,161.828339
dxvv1l5CMbU,shot_8,94778,179.212372,189.188995,#car_racing/#car/#sports_car/#ground_vehicles/#vehicle,181.714874
eaOfgevPphk,shot_56,73711,554.929382,563.020813,#car/#vehicle/#ground_vehicles/#exiting_a_vehicle/#sports_car,561.227356
WdzKJ1DwG20,shot_58,23581,237.195297,242.200287,#car/#ground_vehicles/#sports_car/#vehicle/#car_racing,237.862625
fVWbeOa2Ow8,shot_73,7494,363.480011,369.640015,#vehicle/#car/#ground_vehicles/#outdoor/#sports_car,366.239990
4IzswCEPBdI,shot_144,87849,606.272339,611.902954,#car/#ground_vehicles/#text/#vehicle/#sports_car,608.274353
pmtvC8cXUi8,shot_29,115934,115.381935,126.025902,#vehicle/#ground_vehicles/#car/#exiting_a_vehicle/#outdoor,121.321198
vZD8rfF0-n8,shot_47,94726,176.743240,183.950439,#car/#vehicle/#ground_vehicles/#outdoor/#exiting_car,181.281097
OwvYlyYnpYs,shot_72,95699,496.062225,502.535370,#vehicle/#ground_vehicles/#car/#minivan/#exiting_a_vehicle,496.829681
gxeKvpC9oXk,shot_46,35789,223.433334,230.100006,#car/#vehicle/#sports_car/#ground_vehicles/#outdoor,229.833328
L_bLkjBb5co,shot_67,4966,397.029968,402.935852,#car/#vehicle/#ground_vehicles/#outdoor/#sports_car,399.031952
lSyUb9gORis,shot_14,7398,96.040001,104.199997,#car/#ground_vehicles/#vehicle/#sports_car/#text,97.959999
E1Dm21Brn9Q,shot_5,16707,13.666667,18.733334,#car/#vehicle/#ground_vehicles/#car_racing/#outdoor,16.799999
vZD8rfF0-n8,shot_81,94760,401.634552,408.741669,#car/#ground_vehicles/#vehicle/#sports_car/#text,408.407990
UaZGro6_bdY,shot_52,89977,480.480011,491.119995,#car/#ground_vehicles/#vehicle/#sports_car/#car_racing,483.839996
pmtvC8cXUi8,shot_14,115919,64.064003,71.004265,#car/#vehicle/#ground_vehicles/#exiting_a_vehicle/#sunny,64.397667
T1MAsrqyLAc,shot_8,5552,61.200001,68.400002,#car/#vehicle/#ground_vehicles/#sports_car/#car_racing,64.839996
